Label,Num Words in Subject,Num Words in Body,Avg Word Length in Body,free,now,click,here,buy,time,offer,the,to,ect,and,of,a,for,you,in,hou,on,this,is,i,enron,be,that,we,from,will,have,with,your,2000,com,at,are,s,it,please
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,466,4.0042918454935625,0,1,0,2,0,7,0,25,16,0,17,11,11,6,8,5,0,7,3,1,6,0,6,12,12,2,2,7,4,2,0,1,4,1,5,5,0
1,6,37,8.243243243243244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,60,3.9,0,0,0,0,0,0,0,1,3,0,0,0,2,0,1,0,0,0,3,3,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0
0,4,73,4.47945205479452,0,0,0,0,0,0,0,8,4,0,0,0,2,3,0,1,0,2,2,1,0,1,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,6,316,4.968354430379747,1,0,3,0,0,1,2,9,9,0,8,2,0,2,4,5,0,0,5,2,0,0,5,0,0,0,2,0,1,4,0,3,4,2,1,0,2
1,8,117,4.47008547008547,0,0,0,0,0,0,0,3,2,0,4,1,3,2,2,1,0,3,0,3,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,3,0
0,6,73,3.863013698630137,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,1033,5.250726040658277,0,0,0,0,0,6,2,43,32,0,31,27,12,7,1,17,0,3,15,7,0,0,10,10,11,8,5,2,9,1,0,0,4,9,3,3,2
1,2,54,4.2407407407407405,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7,17,3.176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,44,7.295454545454546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,29,4.068965517241379,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,1414,4.932107496463932,0,0,0,1,0,2,0,85,36,0,39,60,27,10,5,23,0,10,24,20,0,0,12,14,1,10,4,3,6,2,0,4,5,8,13,1,0
0,5,430,4.118604651162791,0,1,0,0,0,0,0,7,3,86,5,2,6,1,0,2,46,3,1,2,1,12,2,0,0,1,0,1,1,0,0,0,0,0,0,0,1
0,4,96,3.8958333333333335,0,0,0,1,0,0,0,5,2,6,1,1,0,0,0,0,3,2,0,1,0,6,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
0,6,175,4.417142857142857,0,0,0,0,0,0,0,4,2,5,1,2,3,2,0,0,2,2,1,0,2,3,0,1,0,0,1,1,2,0,4,0,1,2,0,0,4
0,2,98,5.551020408163265,0,0,0,0,0,0,0,3,3,0,4,2,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1
0,4,264,4.034090909090909,0,0,0,1,0,0,0,14,4,0,4,2,1,1,2,4,0,4,2,2,1,7,0,1,0,4,0,2,2,0,6,1,0,2,0,1,1
0,4,108,4.101851851851852,0,0,0,0,0,0,0,1,1,0,1,0,4,6,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0
0,6,9,4.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,29,3.793103448275862,0,0,0,0,0,0,0,4,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
1,7,1205,4.848132780082987,0,0,0,0,0,4,0,73,26,0,50,35,12,14,4,27,0,6,19,12,0,0,8,6,5,4,1,5,10,0,1,0,3,8,8,1,2
0,9,233,4.197424892703863,0,0,0,0,0,0,0,7,3,0,0,2,2,4,0,0,0,2,0,0,0,15,3,1,0,0,2,0,0,0,7,10,3,0,0,0,1
0,5,333,4.513513513513513,3,1,2,1,1,0,0,9,9,0,9,4,2,5,18,3,0,5,4,1,0,0,0,0,2,3,0,3,1,11,0,7,3,1,3,2,2
0,3,42,4.357142857142857,0,0,0,0,0,0,0,3,2,0,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
0,8,203,4.5763546798029555,0,0,0,0,0,0,0,3,7,0,5,2,3,1,4,0,0,0,2,5,0,3,2,1,0,2,2,2,1,4,0,1,1,0,0,7,1
0,9,203,4.054187192118227,0,0,0,0,0,1,0,4,6,17,1,0,3,1,1,0,9,3,3,3,1,2,1,1,1,2,2,0,0,0,3,0,1,0,0,1,1
0,5,294,3.938775510204082,0,0,0,0,0,0,0,15,7,0,3,0,4,4,4,4,0,4,6,2,4,2,2,4,8,4,0,3,0,0,3,0,4,0,0,3,0
0,7,17,3.1176470588235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10,163,4.662576687116564,0,0,0,0,0,0,0,5,2,0,3,1,2,1,2,1,0,0,1,1,0,2,2,0,0,1,3,0,3,5,0,0,2,1,0,0,0
0,4,246,3.894308943089431,0,0,0,0,0,0,0,5,12,15,2,0,5,2,4,1,8,2,3,2,2,1,2,1,6,2,3,1,0,0,3,0,0,2,2,0,0
0,4,147,4.006802721088436,0,0,0,0,1,0,0,7,2,0,5,1,5,1,0,3,0,3,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
